uid,hn,street,boro,state
92454,33-12,163RD ST,QUEENS,NY
92455,33-18,163RD ST,QUEENS,NY
92456,33-21,163RD ST,QUEENS,NY
92457,33-24,163RD ST,QUEENS,NY
92458,33-23/25,163RD ST,QUEENS,NY
92459,33-27/29,163RD ST,QUEENS,NY
92460,33-30,163RD ST,QUEENS,NY
92461,33-31/33,163RD ST,QUEENS,NY
92462,33-34,163RD ST,QUEENS,NY
92463,33-37,163RD ST,QUEENS,NY
92464,33-38,163RD ST,QUEENS,NY
92465,33-42,163RD ST,QUEENS,NY
92466,33-45,163RD ST,QUEENS,NY
92467,33-46,163RD ST,QUEENS,NY
92468,33-50,163RD ST,QUEENS,NY
92469,33-51,163RD ST,QUEENS,NY
92470,33-52,163RD ST,QUEENS,NY
92471,33-55,163RD ST,QUEENS,NY
92472,33-58,163RD ST,QUEENS,NY
92473,33-59,163RD ST,QUEENS,NY
92474,33-62,163RD ST,QUEENS,NY
92475,33-63,163RD ST,QUEENS,NY
92476,33-66,163RD ST,QUEENS,NY
92477,33-67,163RD ST,QUEENS,NY
92478,33-70,163RD ST,QUEENS,NY
92479,33-73,163RD ST,QUEENS,NY
92480,33-78,163RD ST,QUEENS,NY
92481,33-81,163RD ST,QUEENS,NY
92482,33-84,163RD ST,QUEENS,NY
92483,35-05,163RD ST,QUEENS,NY
92484,35-10,163RD ST,QUEENS,NY
92485,35-15,163RD ST,QUEENS,NY
92486,35-18,163RD ST,QUEENS,NY
92487,35-19/23,163RD ST,QUEENS,NY
92488,35-22,163RD ST,QUEENS,NY
92489,35-27/31,163RD ST,QUEENS,NY
92490,35-28,163RD ST,QUEENS,NY
92491,35-33/35,163RD ST,QUEENS,NY
92492,35-34,163RD ST,QUEENS,NY
92493,35-40/44,163RD ST,QUEENS,NY
92494,35-41/43,163RD ST,QUEENS,NY
92495,35-47/51,163RD ST,QUEENS,NY
92496,35-50,163RD ST,QUEENS,NY
92497,35-54,163RD ST,QUEENS,NY
92498,35-57A/B,163RD ST ,Queens,NY
92499,35-57A/B,163RD ST,QUEENS,NY
92500,35-60,163RD ST,QUEENS,NY
92501,35-63,163RD ST,QUEENS,NY
92502,35-64,163RD ST,QUEENS,NY
92503,35-67/69,163RD ST,QUEENS,NY
92504,35-70,163RD ST,QUEENS,NY
92505,35-71/73,163RD ST,QUEENS,NY
92506,35-76,163RD ST,QUEENS,NY
92507,35-84,163RD ST,QUEENS,NY
92508,29-55/59,164TH ST ,Queens,NY
92509,29-55/59,164TH ST,QUEENS,NY
92510,32-05,164TH ST,QUEENS,NY
92511,32-15,164TH ST,QUEENS,NY
92512,32-27,164TH ST,QUEENS,NY
92513,33-01/09,164TH ST,QUEENS,NY
92514,33-04,164TH ST,QUEENS,NY
92515,33-10,164TH ST,QUEENS,NY
92516,33-14,164TH ST,QUEENS,NY
92517,33-17,164TH ST,QUEENS,NY
92518,33-18,164TH ST,QUEENS,NY
92519,33-19,164TH ST,QUEENS,NY
92520,33-22,164TH ST,QUEENS,NY
92521,33-23,164TH ST,QUEENS,NY
92522,33-26,164TH ST,QUEENS,NY
92523,33-28,164TH ST,QUEENS,NY
92524,33-29,164TH ST,QUEENS,NY
92525,33-33,164TH ST,QUEENS,NY
92526,33-34/36,164TH ST,QUEENS,NY
92527,33-37,164TH ST,QUEENS,NY
92528,33-38/40,164TH ST,QUEENS,NY
92529,33-41,164TH ST,QUEENS,NY
92530,33-44,164TH ST,QUEENS,NY
92531,33-45,164TH ST,QUEENS,NY
92532,33-48,164TH ST,QUEENS,NY
92533,33-49,164TH ST,QUEENS,NY
92534,33-53,164TH ST,QUEENS,NY
92535,33-54,164TH ST,QUEENS,NY
92536,33-56,164TH ST,QUEENS,NY
92537,33-57,164TH ST,QUEENS,NY
92538,33-61,164TH ST,QUEENS,NY
92539,33-62,164TH ST,QUEENS,NY
92540,33-63,164TH ST,QUEENS,NY
92541,33-64,164TH ST,QUEENS,NY
92542,33-69,164TH ST,QUEENS,NY
92543,33-70,164TH ST,QUEENS,NY
