alleyCrossStreetsFlag,assemblyDistrict,bbl,bblBoroughCode,bblTaxBlock,bblTaxLot,bikeLane,boardOfElectionsPreferredLgc,boePreferredStreetName,boePreferredstreetCode,boroughCode1In,buildingIdentificationNumber,businessImprovementDistrict,censusBlock2000,censusBlock2010,censusBlockSuffix2000,censusTract1990,censusTract2000,censusTract2010,cityCouncilDistrict,civilCourtDistrict,coincidentSegmentCount,communityDistrict,communityDistrictBoroughCode,communityDistrictNumber,communitySchoolDistrict,condominiumBillingBbl,condominiumFlag,congressionalDistrict,cooperativeIdNumber,cornerCode,crossStreetNamesFlagIn,curveFlag,dcpCommercialStudyArea,dcpPreferredLgc,dofCondominiumIdentificationNumber,dotStreetLightContractorArea,dynamicBlock,electionDistrict,fireBattalion,fireCompanyNumber,fireCompanyType,fireDivision,firstBoroughName,firstStreetCode,firstStreetNameNormalized,fromLionNodeId,fromPreferredLgcsFirstSetOf5,genericId,geosupportFunctionCode,geosupportReturnCode,geosupportReturnCode2,gi5DigitStreetCode1,gi5DigitStreetCode2,gi5DigitStreetCode3,gi5DigitStreetCode4,gi5DigitStreetCode5,gi5DigitStreetCode6,gi5DigitStreetCode7,gi5DigitStreetCode8,giBoroughCode1,giBoroughCode2,giBoroughCode3,giBoroughCode4,giBoroughCode5,giBoroughCode6,giBoroughCode7,giBoroughCode8,giBuildingIdentificationNumber1,giBuildingIdentificationNumber2,giBuildingIdentificationNumber3,giBuildingIdentificationNumber4,giBuildingIdentificationNumber5,giBuildingIdentificationNumber6,giBuildingIdentificationNumber7,giBuildingIdentificationNumber8,giDcpPreferredLgc1,giDcpPreferredLgc2,giDcpPreferredLgc3,giDcpPreferredLgc4,giDcpPreferredLgc5,giDcpPreferredLgc6,giDcpPreferredLgc7,giDcpPreferredLgc8,giGeographicIdentifier1,giGeographicIdentifier2,giGeographicIdentifier3,giGeographicIdentifier4,giGeographicIdentifier5,giGeographicIdentifier6,giGeographicIdentifier7,giGeographicIdentifier8,giHighHouseNumber1,giHighHouseNumber2,giHighHouseNumber3,giHighHouseNumber4,giHighHouseNumber5,giHighHouseNumber6,giHighHouseNumber7,giHighHouseNumber8,giLowHouseNumber1,giLowHouseNumber2,giLowHouseNumber3,giLowHouseNumber4,giLowHouseNumber5,giLowHouseNumber6,giLowHouseNumber7,giLowHouseNumber8,giSideOfStreetIndicator1,giSideOfStreetIndicator2,giSideOfStreetIndicator3,giSideOfStreetIndicator4,giSideOfStreetIndicator5,giSideOfStreetIndicator6,giSideOfStreetIndicator7,giSideOfStreetIndicator8,giStreetCode1,giStreetCode2,giStreetCode3,giStreetCode4,giStreetCode5,giStreetCode6,giStreetCode7,giStreetCode8,giStreetName1,giStreetName2,giStreetName3,giStreetName4,giStreetName5,giStreetName6,giStreetName7,giStreetName8,healthArea,healthCenterDistrict,highBblOfThisBuildingsCondominiumUnits,highCrossStreetB5SC1,highCrossStreetB5SC2,highCrossStreetB5SC3,highCrossStreetCode1,highCrossStreetCode2,highCrossStreetCode3,highCrossStreetName1,highCrossStreetName2,highCrossStreetName3,highHouseNumberOfBlockfaceSortFormat,houseNumber,houseNumberIn,houseNumberSortFormat,hurricaneEvacuationZone,individualSegmentLength,instructionalRegion,interimAssistanceEligibilityIndicator,interiorLotFlag,internalLabelXCoordinate,internalLabelYCoordinate,latitude,latitudeInternalLabel,legacySegmentId,lionBoroughCode,lionBoroughCodeForVanityAddress,lionFaceCode,lionFaceCodeForVanityAddress,lionKey,lionKeyForVanityAddress,lionSequenceNumber,lionSequenceNumberForVanityAddress,listOf4Lgcs,longitude,longitudeInternalLabel,lowBblOfThisBuildingsCondominiumUnits,lowCrossStreetB5SC1,lowCrossStreetB5SC2,lowCrossStreetB5SC3,lowCrossStreetCode1,lowCrossStreetCode2,lowCrossStreetCode3,lowCrossStreetName1,lowCrossStreetName2,lowCrossStreetName3,lowHouseNumberOfBlockfaceSortFormat,lowHouseNumberOfDefiningAddressRange,message,message2,noCrossStreetCalculationFlag,nta,ntaName,numberOfCrossStreetB5SCsHighAddressEnd,numberOfCrossStreetB5SCsLowAddressEnd,numberOfCrossStreetsHighAddressEnd,numberOfCrossStreetsLowAddressEnd,numberOfEntriesInListOfGeographicIdentifiers,numberOfExistingStructuresOnLot,numberOfStreetCodesAndNamesInList,numberOfStreetFrontagesOfLot,physicalId,policePatrolBoroughCommand,policePrecinct,radiusOfCircle,reasonCode,reasonCode1a,reasonCode1e,reasonCode2,returnCode1a,returnCode1e,roadwayType,rpadBuildingClassificationCode,rpadSelfCheckCodeForBbl,sanbornBoroughCode,sanbornPageNumber,sanbornPageNumberSuffix,sanbornVolumeNumber,sanitationCollectionSchedulingSectionAndSubsection,sanitationDistrict,sanitationOrganicsCollectionSchedule,sanitationRecyclingCollectionSchedule,sanitationRegularCollectionSchedule,sanitationSnowPriorityCode,secantLocationRelatedToCurve,segmentAzimuth,segmentIdentifier,segmentLengthInFeet,segmentOrientation,segmentTypeCode,selfCheckCodeOfBillingBbl,sideOfStreetIndicator,sideOfStreetOfVanityAddress,specialAddressGeneratedRecordFlag,splitLowHouseNumber,stateSenatorialDistrict,streetCode1,streetCode10,streetCode2,streetCode3,streetCode4,streetCode5,streetCode6,streetCode7,streetCode8,streetCode9,streetName1,streetName10,streetName1In,streetName2,streetName3,streetName4,streetName5,streetName6,streetName7,streetName8,streetName9,streetStatus,taxMapNumberSectionAndVolume,toLionNodeId,toPreferredLgcsFirstSetOf5,trafficDirection,underlyingStreetCode,uspsPreferredCityName,vacantLotFlag,workAreaFormatIndicatorIn,xCoordinate,xCoordinateHighAddressEnd,xCoordinateLowAddressEnd,xCoordinateOfCenterofCurvature,yCoordinate,yCoordinateHighAddressEnd,yCoordinateLowAddressEnd,yCoordinateOfCenterofCurvature,zipCode
X,34,4014610071,4,01461,0071,,1,87 STREET,41774001,4,4035903,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035903,4546900,,,,,,,01,01,,,,,,,,,,,,,,,35-27,35-27 GARAGE,,,,,,,35-27,35-27 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610071,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-27,35-27,100035027AA,X,00593,QN,E,,1017608,0213090,40.751447282619836,40.7514964054027,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87987371859082,-73.87960293675977,4014610071,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035027AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,4,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017533,1017592,1017488,0000000,0213072,0212631,0213377,0000000,11372
X,34,4014610071,4,01461,0071,,1,87 STREET,41774001,4,4035903,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035903,4546900,,,,,,,01,01,,,,,,,,,,,,,,,35-27,35-27 GARAGE,,,,,,,35-27,35-27 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610071,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-27,35-27,100035027AA,X,00593,QN,E,,1017608,0213090,40.751447282619836,40.7514964054027,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87987371859082,-73.87960293675977,4014610071,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035027AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,4,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST ,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017533,1017592,1017488,0000000,0213072,0212631,0213377,0000000,11372
X,34,4014610070,4,01461,0070,,1,87 STREET,41774001,4,4035902,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035902,4471100,,,,,,,01,01,,,,,,,,,,,,,,,35-29,35-29 GARAGE,,,,,,,35-29,35-29 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610070,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-29,35-29,100035029AA,X,00593,QN,E,,1017611,0213071,40.75141982764631,40.751444243939126,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87986654962123,-73.87959220331153,4014610070,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035029AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,6,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017535,1017592,1017488,0000000,0213062,0212631,0213377,0000000,11372
X,34,4014610069,4,01461,0069,,1,87 STREET,41774001,4,4035901,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035901,4546896,,,,,,,01,01,,,,,,,,,,,,,,,35-33,35-33 GARAGE,,,,,,,35-33,35-33 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610069,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-33,35-33,100035033AA,X,00593,QN,E,,1017613,0213051,40.75136492146216,40.751389341502744,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87985582092917,-73.87958508407237,4014610069,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035033AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,8,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017538,1017592,1017488,0000000,0213042,0212631,0213377,0000000,11372
X,34,4014610067,4,01461,0067,,1,87 STREET,41774001,4,4035900,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035900,4471099,,,,,,,01,01,,,,,,,,,,,,,,,35-35,35-35 GARAGE,,,,,,,35-35,35-35 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610067,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-35,35-35,100035035AA,X,00593,QN,E,,1017617,0213024,40.7513374702519,40.75131521830679,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87985226120372,-73.87957078112342,4014610067,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035035AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,2,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017539,1017592,1017488,0000000,0213032,0212631,0213377,0000000,11372
X,34,4014610067,4,01461,0067,,1,87 STREET,41774001,4,4035900,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035900,4471099,,,,,,,01,01,,,,,,,,,,,,,,,35-35,35-35 GARAGE,,,,,,,35-35,35-35 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610067,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-35,35-35,100035035AA,X,00593,QN,E,,1017617,0213024,40.7513374702519,40.75131521830679,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87985226120372,-73.87957078112342,4014610067,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035035AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,2,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST ,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017539,1017592,1017488,0000000,0213032,0212631,0213377,0000000,11372
X,34,4014610065,4,01461,0065,,1,87 STREET,41774001,4,4035899,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035899,4546894,,,,,,,01,01,,,,,,,,,,,,,,,35-39,35-39 GARAGE,,,,,,,35-39,35-39 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610065,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-39,35-39,100035039AA,X,00593,QN,E,,1017622,0212992,40.7512853088104,40.75122736761128,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87984152758587,-73.87955289379724,4014610065,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035039AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,6,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017542,1017592,1017488,0000000,0213013,0212631,0213377,0000000,11372
X,34,4014610064,4,01461,0064,,1,87 STREET,41774001,4,4035898,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035898,4471098,,,,,,,01,01,,,,,,,,,,,,,,,35-41,35-41 GARAGE,,,,,,,35-41,35-41 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610064,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-41,35-41,100035041AA,X,00593,QN,E,,1017625,0212968,40.75125785759938,40.751161482417906,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87983796787057,-73.87954218524733,4014610064,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035041AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,9,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017543,1017592,1017488,0000000,0213003,0212631,0213377,0000000,11372
X,34,4014610064,4,01461,0064,,1,87 STREET,41774001,4,4035898,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035898,4471098,,,,,,,01,01,,,,,,,,,,,,,,,35-41,35-41 GARAGE,,,,,,,35-41,35-41 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610064,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-41,35-41,100035041AA,X,00593,QN,E,,1017625,0212968,40.75125785759938,40.751161482417906,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87983796787057,-73.87954218524733,4014610064,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035041AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,9,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST ,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017543,1017592,1017488,0000000,0213003,0212631,0213377,0000000,11372
X,34,4014610063,4,01461,0063,,1,87 STREET,41774001,4,4035897,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035897,4546890,,,,,,,01,01,,,,,,,,,,,,,,,35-43,35-43 GARAGE,,,,,,,35-43,35-43 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610063,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-43,35-43,100035043AA,X,00593,QN,E,,1017628,0212948,40.75123040638813,40.751106576201536,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87983440815822,-73.87953145686423,4014610063,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035043AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,1,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST ,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017544,1017592,1017488,0000000,0212993,0212631,0213377,0000000,11372
X,34,4014610063,4,01461,0063,,1,87 STREET,41774001,4,4035897,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035897,4546890,,,,,,,01,01,,,,,,,,,,,,,,,35-43,35-43 GARAGE,,,,,,,35-43,35-43 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610063,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-43,35-43,100035043AA,X,00593,QN,E,,1017628,0212948,40.75123040638813,40.751106576201536,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87983440815822,-73.87953145686423,4014610063,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035043AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,1,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017544,1017592,1017488,0000000,0212993,0212631,0213377,0000000,11372
X,34,4014610062,4,01461,0062,,1,87 STREET,41774001,4,4035896,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035896,4471097,,,,,,,01,01,,,,,,,,,,,,,,,35-45,35-45 GARAGE,,,,,,,35-45,35-45 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610062,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-45,35-45,100035045AA,X,00593,QN,E,,1017631,0212927,40.75120295141131,40.751048925239054,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87982723922816,-73.87952073346284,4014610062,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035045AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,3,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017546,1017592,1017488,0000000,0212983,0212631,0213377,0000000,11372
X,34,4014610062,4,01461,0062,,1,87 STREET,41774001,4,4035896,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035896,4471097,,,,,,,01,01,,,,,,,,,,,,,,,35-45,35-45 GARAGE,,,,,,,35-45,35-45 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610062,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-45,35-45,100035045AA,X,00593,QN,E,,1017631,0212927,40.75120295141131,40.751048925239054,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87982723922816,-73.87952073346284,4014610062,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035045AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,3,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST ,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017546,1017592,1017488,0000000,0212983,0212631,0213377,0000000,11372
X,34,4014610060,4,01461,0060,,1,87 STREET,41774001,4,4035895,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035895,4471096,,,,,,,01,01,,,,,,,,,,,,,,,35-51,35-51 GARAGE,,,,,,,35-51,35-51 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610060,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-51,35-51,100035051AA,X,00593,QN,E,,1017634,0212900,40.75112333875412,40.75097480580691,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87981294595379,-73.87951003986682,4014610060,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035051AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,7,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017550,1017592,1017488,0000000,0212954,0212631,0213377,0000000,11372
X,34,4014610060,4,01461,0060,,1,87 STREET,41774001,4,4035895,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,17740,,,,,,,4,4,,,,,,,4035895,4471096,,,,,,,01,01,,,,,,,,,,,,,,,35-51,35-51 GARAGE,,,,,,,35-51,35-51 GARAGE,,,,,,,L,L,,,,,,,41774001,41774001,,,,,,,87 STREET,87 STREET,,,,,,,1011,42,4014610060,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-51,35-51,100035051AA,X,00593,QN,E,,1017634,0212900,40.75112333875412,40.75097480580691,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87981294595379,-73.87951003986682,4014610060,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035051AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0002,0002,,01,0030492,6,115,,,W,,W,01,00,1,B1,7,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST ,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017550,1017592,1017488,0000000,0212954,0212631,0213377,0000000,11372
X,34,4014610058,4,01461,0058,,1,87 STREET,41774001,4,4035894,,2000,2000,, 279  , 279  , 279  ,25,02,1,403,4,03,30,0000000000,,14,0000,,E,,,01,,4,201,008,49,154,L,14,QUEENS,41774001010,87 STREET,0046767,01,0026282,1B,00,01,17740,,,,,,,,4,,,,,,,,4035894,,,,,,,,01,,,,,,,,,,,,,,,,35-53,,,,,,,,35-53,,,,,,,,L,,,,,,,,41774001,,,,,,,,87 STREET,,,,,,,,1011,42,4014610058,408790,,,40879002,,,37 AVENUE,,,100036099AA,35-53,35-53,100035053AA,X,00593,QN,E,,1017639,0212866,40.75109588754159,40.750881465608224,0130607,4,4,6002,6002,4600200100,4600200100,00100,00100,01,-73.87980938625894,-73.87949216264253,4014610058,408590,,,40859001,,,35 AVENUE,,,100035001AA,100035053AA,,INPUT STREET NAME HAS BEEN MODIFIED,Y,QN28,Jackson Heights,1,1,1,1,0001,0001,,01,0030492,6,115,,,W,,W,01,00,1,B1,1,4,014,,10,2E,403,,ES,WS,P,,277,0130607,00753,S,U,,L,L,,100035015AA,13,,,,,,,,,,,,,"87TH ST,",,,,,,,,,2,40903,0046764,02,A,41774001,JACKSON HEIGHTS,,C,1017551,1017592,1017488,0000000,0212944,0212631,0213377,0000000,11372
