id,address,proj,address_cln_1,address_cln_2
8101.007444,"34-55 71ST ST, QUEENS NY",jh,34-55 71ST ST,34-55 71ST ST
8101.007445,"71-01 35TH AVE, QUEENS NY",jh,71-01 35TH AVE,71-01 35TH AVE
8101.007446,"71-03 35TH AVE, QUEENS NY",jh,71-03 35TH AVE,71-03 35TH AVE
8101.007447,"71-05 35TH AVE, QUEENS NY",jh,71-05 35TH AVE,71-05 35TH AVE
8101.007448,"71-07 35TH AVE, QUEENS NY",jh,71-07 35TH AVE,71-07 35TH AVE
8101.007449,"71-09 35TH AVE, QUEENS NY",jh,71-09 35TH AVE,71-09 35TH AVE
8101.00745,"71-11 35TH AVE, QUEENS NY",jh,71-11 35TH AVE,71-11 35TH AVE
8101.007451,"71-13 35TH AVE, QUEENS NY",jh,71-13 35TH AVE,71-13 35TH AVE
8101.007452,"71-15 35TH AVE, QUEENS NY",jh,71-15 35TH AVE,71-15 35TH AVE
8101.007453,"71-17 35TH AVE, QUEENS NY",jh,71-17 35TH AVE,71-17 35TH AVE
8101.007454,"71-19 35TH AVE, QUEENS NY",jh,71-19 35TH AVE,71-19 35TH AVE
8101.007455,"34-56 72ND ST, QUEENS NY",jh,34-56 72ND ST,34-56 72ND ST
8101.007456,"72-01/11 35TH AVE, QUEENS NY",jh,72-01/11 35TH AVE,72-01/11 35TH AVE
8101.007457,"74-15 35TH AVE, QUEENS NY",jh,74-15 35TH AVE,74-15 35TH AVE
8101.007458,"75-05 35TH AVE, QUEENS NY",jh,75-05 35TH AVE,75-05 35TH AVE
8101.007459,"75-15 35TH AVE, QUEENS NY",jh,75-15 35TH AVE,75-15 35TH AVE
8101.00746,"76-15 35TH AVE, QUEENS NY",jh,76-15 35TH AVE,76-15 35TH AVE
8101.007461,"77-11 35TH AVE, QUEENS NY",jh,77-11 35TH AVE,77-11 35TH AVE
8101.007462,"79-01 35TH AVE, QUEENS NY",jh,79-01 35TH AVE,79-01 35TH AVE
8101.007463,"79-15 35TH AVE, QUEENS NY",jh,79-15 35TH AVE,79-15 35TH AVE
8101.007464,"80-09 35TH AVE, QUEENS NY",jh,80-09 35TH AVE,80-09 35TH AVE
8101.007465,"34-49 81ST ST, QUEENS NY",jh,34-49 81ST ST,34-49 81ST ST
8101.007466,"81-05 35TH AVE, QUEENS NY",jh,81-05 35TH AVE,81-05 35TH AVE
8101.007467,"81-15 35TH AVE, QUEENS NY",jh,81-15 35TH AVE,81-15 35TH AVE
8101.007468,"82-15 35TH AVE, QUEENS NY",jh,82-15 35TH AVE,82-15 35TH AVE
8101.007469,"83-09 35TH AVE, QUEENS NY",jh,83-09 35TH AVE,83-09 35TH AVE
8101.00747,"84-09 35TH AVE, QUEENS NY",jh,84-09 35TH AVE,84-09 35TH AVE
8101.007471,"85-15 35TH AVE, QUEENS NY",jh,85-15 35TH AVE,85-15 35TH AVE
8101.007472,"86-01/17 35TH AVE, QUEENS NY",jh,86-01/17 35TH AVE,86-01/17 35TH AVE
8101.007473,"87-01 35TH AVE, QUEENS NY",jh,87-01 35TH AVE,87-01 35TH AVE
8101.007474,"87-11 35TH AVE, QUEENS NY",jh,87-11 35TH AVE,87-11 35TH AVE
8101.007475,"88-01 35TH AVE, QUEENS NY",jh,88-01 35TH AVE,88-01 35TH AVE
8101.007476,"88-09 35TH AVE, QUEENS NY",jh,88-09 35TH AVE,88-09 35TH AVE
8101.007477,"90-11 35TH AVE, QUEENS NY",jh,90-11 35TH AVE,90-11 35TH AVE
8101.007478,"70-18/24 35TH AVE, QUEENS NY",jh,70-18/24 35TH AVE,70-18/24 35TH AVE
8101.007479,"71-02 35TH AVE, QUEENS NY",jh,71-02 35TH AVE,71-02 35TH AVE
8101.00748,"71-04 35TH AVE, QUEENS NY",jh,71-04 35TH AVE,71-04 35TH AVE
8101.007481,"71-06 35TH AVE, QUEENS NY",jh,71-06 35TH AVE,71-06 35TH AVE
8101.007482,"71-08 35TH AVE, QUEENS NY",jh,71-08 35TH AVE,71-08 35TH AVE
8101.007483,"71-10 35TH AVE, QUEENS NY",jh,71-10 35TH AVE,71-10 35TH AVE
8101.007484,"71-12 35TH AVE, QUEENS NY",jh,71-12 35TH AVE,71-12 35TH AVE
8101.007485,"71-14/26 35TH AVE, QUEENS NY",jh,71-14/26 35TH AVE,71-14/26 35TH AVE
8101.007486,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007487,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007488,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007489,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.00749,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007491,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007492,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007493,"73-12 35TH AVE, QUEENS NY",jh,73-12 35TH AVE,73-12 35TH AVE
8101.007494,"74-10 35TH AVE, QUEENS NY",jh,74-10 35TH AVE,74-10 35TH AVE
8101.007495,"75-08 35TH AVE, QUEENS NY",jh,75-08 35TH AVE,75-08 35TH AVE
8101.007496,"75-12 35TH AVE, QUEENS NY",jh,75-12 35TH AVE,75-12 35TH AVE
8101.007497,"76-02/10 35TH AVE, QUEENS NY",jh,76-02/10 35TH AVE,76-02/10 35TH AVE
8101.007498,"77-12 35TH AVE, QUEENS NY",jh,77-12 35TH AVE,77-12 35TH AVE
8101.007499,"78-12 35TH AVE, QUEENS NY",jh,78-12 35TH AVE,78-12 35TH AVE
8101.0075,"79-06 35TH AVE, QUEENS NY",jh,79-06 35TH AVE,79-06 35TH AVE
8101.007501,"79-10 35TH AVE, QUEENS NY",jh,79-10 35TH AVE,79-10 35TH AVE
8101.007502,"80-08 35TH AVE, QUEENS NY",jh,80-08 35TH AVE,80-08 35TH AVE
8101.007503,"81-02-10 35TH AVE, QUEENS NY",jh,81-02-10 35TH AVE,81-02-10 35TH AVE
8101.007503,"81-02/10 35TH AVE, Queens",lg,81-02/10 35TH AVE,81-02/10 35TH AVE
8101.007504,"35TH AVE, QUEENS NY",jh,35TH AVE,35TH AVE
8101.007505,"83-10 35TH AVE, QUEENS NY",jh,83-10 35TH AVE,83-10 35TH AVE
8101.007506,"83-12 35TH AVE, QUEENS NY",jh,83-12 35TH AVE,83-12 35TH AVE
8101.007507,"84-12 35TH AVE, QUEENS NY",jh,84-12 35TH AVE,84-12 35TH AVE
8101.007508,"86-06 35TH AVE, QUEENS NY",jh,86-06 35TH AVE,86-06 35TH AVE
8101.007509,"88-02 35TH AVE, QUEENS NY",jh,88-02 35TH AVE,88-02 35TH AVE
8101.00751,"88-10 35TH AVE, QUEENS NY",jh,88-10 35TH AVE,88-10 35TH AVE
