id,address,proj,address_cln_1,address_cln_2,addr_concat,uid,streetaddress,addressRemoveSuite,hn,street,county,boro,suite_type,suite_num,city,state
8101.008778,33-42 88TH ST QUEENS NY,jf,33-42 88TH ST,33-42 88TH ST,8101.008778^33-42 88TH ST^jf,91582,"33-42 88TH ST, QUEENS NY",33-42 88TH ST QUEENS NY,33-42,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008779,33-44 88TH ST QUEENS NY,jf,33-44 88TH ST,33-44 88TH ST,8101.008779^33-44 88TH ST^jf,91583,"33-44 88TH ST, QUEENS NY",33-44 88TH ST QUEENS NY,33-44,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.00878,33-46 88TH ST QUEENS NY,jf,33-46 88TH ST,33-46 88TH ST,8101.00878^33-46 88TH ST^jf,91584,"33-46 88TH ST, QUEENS NY",33-46 88TH ST QUEENS NY,33-46,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008781,34-14 88TH ST,,34-14 88TH ST,34-14 88TH ST,8101.008781^34-14 88TH ST^nan,91585,34-14 88TH ST,34-14 88TH ST,34-14,88TH ST,,nan,,,,NY
8101.008781,34-14 88TH ST QUEENS NY,jf,34-14 88TH ST,34-14 88TH ST,8101.008781^34-14 88TH ST^jf,91586,"34-14 88TH ST, QUEENS NY",34-14 88TH ST QUEENS NY,34-14,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008782,34-16 88TH ST QUEENS NY,jf,34-16 88TH ST,34-16 88TH ST,8101.008782^34-16 88TH ST^jf,91587,"34-16 88TH ST, QUEENS NY",34-16 88TH ST QUEENS NY,34-16,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008782,34-16 88TH ST,,34-16 88TH ST,34-16 88TH ST,8101.008782^34-16 88TH ST^nan,91588,34-16 88TH ST,34-16 88TH ST,34-16,88TH ST,,nan,,,,NY
8101.008783,34-18 88TH ST QUEENS NY,jf,34-18 88TH ST,34-18 88TH ST,8101.008783^34-18 88TH ST^jf,91589,"34-18 88TH ST, QUEENS NY",34-18 88TH ST QUEENS NY,34-18,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008783,34-18 88TH ST,,34-18 88TH ST,34-18 88TH ST,8101.008783^34-18 88TH ST^nan,91590,34-18 88TH ST,34-18 88TH ST,34-18,88TH ST,,nan,,,,NY
8101.008784,34-20 88TH ST QUEENS NY,jf,34-20 88TH ST,34-20 88TH ST,8101.008784^34-20 88TH ST^jf,91591,"34-20 88TH ST, QUEENS NY",34-20 88TH ST QUEENS NY,34-20,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008785,34-22 88TH ST,,34-22 88TH ST,34-22 88TH ST,8101.008785^34-22 88TH ST^nan,91592,34-22 88TH ST,34-22 88TH ST,34-22,88TH ST,,nan,,,,NY
8101.008785,34-22 88TH ST QUEENS NY,jf,34-22 88TH ST,34-22 88TH ST,8101.008785^34-22 88TH ST^jf,91593,"34-22 88TH ST, QUEENS NY",34-22 88TH ST QUEENS NY,34-22,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
8101.008786,34-24 88TH ST QUEENS NY,jf,34-24 88TH ST,34-24 88TH ST,8101.008786^34-24 88TH ST^jf,91594,"34-24 88TH ST, QUEENS NY",34-24 88TH ST QUEENS NY,34-24,88TH ST,QUEENS,QUEENS,,,QUEENS,NY
